,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-27 15:34:03,復興南路二段235號前,25,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 15:47:04,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 15:45:15,和平東路二段96巷7號,14,1
3,YouBike2.0_和平公園東側,11,0,大安區,2023-05-27 15:23:04,和平東路二段118巷33號,11,1
4,YouBike2.0_辛亥復興路口西北側,16,2,大安區,2023-05-27 15:48:14,復興南路二段368號,14,1
5,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-27 14:48:14,復興南路二段280號,10,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 14:24:04,復興南路二段342號,10,1
7,YouBike2.0_新生南路三段52號前,17,0,大安區,2023-05-27 15:26:04,新生南路三段52號,16,1
8,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 15:45:15,新生南路三段66號東側,14,1
9,YouBike2.0_新生南路三段82號前,20,3,大安區,2023-05-27 15:48:14,新生南路三段82號,16,1
10,YouBike2.0_辛亥路一段30號前,8,3,大安區,2023-05-27 15:34:13,辛亥路一段30號,5,1
11,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-05-27 15:47:14,復興南路二段236號,8,1
12,YouBike2.0_羅斯福路三段311號前,11,1,大安區,2023-05-27 15:48:04,羅斯福路三段311號,10,1
13,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 15:36:15,敦南街76巷28號,11,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-05-27 15:45:15,羅斯福路三段283巷11號,4,1
16,YouBike2.0_和平臥龍街口,15,2,大安區,2023-05-27 15:45:15,臥龍街1號,13,1
17,YouBike2.0_溫州停車場,5,2,大安區,2023-05-27 15:43:15,新生南路三段54巷/溫州街口,3,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 15:47:04,羅斯福路四段21號旁天橋下,5,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-27 15:41:04,羅斯福路四段113巷基隆路四段41巷口,15,1
24,YouBike2.0_臺灣科技大學後門,39,0,大安區,2023-05-27 15:48:04,基隆路四段41巷68弄臺科帆船大樓旁,38,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,1,大安區,2023-05-27 15:40:22,基隆路三段155巷57號西側,19,1
26,YouBike2.0_臺大環研大樓,15,1,大安區,2023-05-27 15:32:13,芳蘭路/基隆路三段155巷口,14,1
33,YouBike2.0_臺大萬才館前,20,3,大安區,2023-05-27 15:15:14,臺大萬才館北側,17,1
39,YouBike2.0_基隆長興路口東側,15,1,大安區,2023-05-27 15:41:16,基隆長興路口東側,14,1
40,YouBike2.0_國北教大側門南側,25,2,大安區,2023-05-27 15:39:14,敦南街51號,22,1
42,YouBike2.0_大安區健康服務中心,15,2,大安區,2023-05-27 15:34:13,辛亥路三段15號,13,1
43,YouBike2.0_辛亥泰順街口,20,0,大安區,2023-05-27 15:25:05,辛亥泰順街口東南側,18,1
46,YouBike2.0_臥龍公園,14,3,大安區,2023-05-27 15:44:14,辛亥路三段223號西側,11,1
49,YouBike2.0_捷運六張犁站,64,3,大安區,2023-05-27 15:48:14,和平東路三段410號,61,1
51,YouBike2.0_法治公園,15,0,大安區,2023-05-27 15:32:04,通化街189號西側,14,1
54,YouBike2.0_和平龍泉街口,34,2,大安區,2023-05-27 15:46:15,和平東路一段/龍泉街口西南側,31,1
64,YouBike2.0_金甌女中,12,3,大安區,2023-05-27 15:35:15,信義路二段與杭州南路二段東南側,8,1
67,YouBike2.0_敦化南路二段293巷口南側,14,1,大安區,2023-05-27 15:27:14,敦化南路二段293巷口南側,13,1
69,YouBike2.0_安和路二段181巷口,17,0,大安區,2023-05-27 15:43:04,安和路二段185號,17,1
71,YouBike2.0_臨江街夜市(基隆路),17,2,大安區,2023-05-27 15:35:15,基隆路二段108號,14,1
73,YouBike2.0_新生南路一段119巷口,33,3,大安區,2023-05-27 15:48:14,新生南路一段113號,27,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,3,大安區,2023-05-27 15:48:14,信義路4段6號(前),8,1
81,YouBike2.0_信義大安路口(信維大樓),12,2,大安區,2023-05-27 15:45:15,信義路四段74號(前),9,1
85,YouBike2.0_仁愛國中,25,1,大安區,2023-05-27 15:46:15,安和路一段75號(對面),22,1
86,YouBike2.0_捷運信義安和站(2號出口),26,3,大安區,2023-05-27 15:41:16,信義路四段188號前,22,1
88,YouBike2.0_昌隆公園,16,1,大安區,2023-05-27 15:30:44,市民大道三段206號西側,14,1
90,YouBike2.0_信義延吉街口,15,2,大安區,2023-05-27 15:45:15,信義路四段353號,13,1
91,YouBike2.0_光信公園(光復南路456巷),15,2,大安區,2023-05-27 15:46:15,延吉街249號,12,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,3,大安區,2023-05-27 15:41:16,光復南路290巷5號,16,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,2,大安區,2023-05-27 15:41:16,新生南路一段101號,13,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,3,大安區,2023-05-27 15:43:15,忠孝新生路口北側,30,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,3,大安區,2023-05-27 15:45:15,忠孝東路三段與10巷口,20,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 15:47:14,東豐街24號(旁公園路側),17,1
103,YouBike2.0_德安公園(四維路66巷),14,2,大安區,2023-05-27 15:40:22,四維路66巷6號北側,12,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,1,大安區,2023-05-27 15:47:14,忠孝東路四段221號,16,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,0,大安區,2023-05-27 15:32:04,忠孝東路四段143號,17,1
108,YouBike2.0_樂利路21巷口,17,0,大安區,2023-05-27 15:45:05,樂利路25號,17,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,1,大安區,2023-05-27 15:44:14,和平東路二段134號前,45,1
116,YouBike2.0_敦化南路二段103巷口,24,0,大安區,2023-05-27 15:32:04,敦化南路二段99號前,24,1
117,YouBike2.0_復興南路二段128巷口,28,0,大安區,2023-05-27 15:42:03,復興南路二段142之1號前,28,1
119,YouBike2.0_芳蘭山莊,16,1,大安區,2023-05-27 15:29:14,基隆路三段155巷148號,15,1
121,YouBike2.0_捷運東門站(5號出口),28,0,大安區,2023-05-27 15:48:14,信義路二段178號前,27,1
124,YouBike2.0_臺北科技大學(電機工程系),16,0,大安區,2023-05-27 15:48:04,忠孝東路三段100號對側,16,1
130,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 15:42:03,辛亥路三段與辛亥路三段157巷口西北側,19,1
134,YouBike2.0_和平敦化路口,25,3,大安區,2023-05-27 15:28:14,和平東路三段 / 敦化南路二段口(東側),21,1
135,YouBike2.0_基隆長興路口,43,1,大安區,2023-05-27 15:47:14,基隆路/長興街(東南側),42,1
136,YouBike2.0_仁愛路四段122巷口,16,1,大安區,2023-05-27 15:45:05,仁愛路四段118號前,15,1
137,YouBike2.0_市民敦化路口,15,3,大安區,2023-05-27 15:47:14,敦化南路一段111號前,12,1
144,YouBike2.0_臺北遠企購物中心,33,0,大安區,2023-05-27 15:28:04,敦化南路二段201號前,32,1
145,YouBike2.0_外交部外交及國際事務學院,17,3,大安區,2023-05-27 15:48:14,敦化南路一段280號,14,1
146,YouBike2.0_四維路170巷口,22,0,大安區,2023-05-27 15:43:04,敦化南路二段92號對側中央分隔島,22,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,0,大安區,2023-05-27 15:39:04,羅斯福路三段201號旁,30,1
151,YouBike2.0_敦化南路二段81巷,40,2,大安區,2023-05-27 15:42:14,敦化南路二段與敦化南路二段81巷口西北側,37,1
152,YouBike2.0_原臺北刑務所官舍,23,3,大安區,2023-05-27 15:48:14,金華街78號對側,20,1
154,YouBike2.0_懷生國中,15,3,大安區,2023-05-27 15:40:22,忠孝東路三段248巷30號,11,1
158,YouBike2.0_捷運大安站(5號出口),19,1,大安區,2023-05-27 15:40:22,復興南路二段/信義路四段(東南側),15,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-05-27 15:48:04,通化街143巷33號對側,12,1
160,YouBike2.0_羅斯福路四段113巷19弄口,14,1,大安區,2023-05-27 15:41:04,羅斯福路四段119巷84號對側,12,1
161,YouBike2.0_忠孝東路四段248巷口,15,3,大安區,2023-05-27 15:48:14,忠孝東路四段230號前,10,1
163,YouBike2.0_樂利路101巷口,13,1,大安區,2023-05-27 15:48:14,樂利路97號前,12,1
168,YouBike2.0_民族延平路口,23,1,大同區,2023-05-27 15:44:14,延平北路三段123號北側,22,1
169,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-05-27 15:41:04,重慶北路三段260號前,30,1
172,YouBike2.0_臺北孔廟,27,2,大同區,2023-05-27 15:44:14,哈密街61號口對側人行道,25,1
177,YouBike2.0_台北數位產業園區,24,3,大同區,2023-05-27 15:45:15,承德路三段287號前方,21,1
178,YouBike2.0_民權延平路口(西北側),20,3,大同區,2023-05-27 15:47:14,民權西路239號前方,17,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 15:46:04,民權西路237號旁,16,1
185,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-05-27 15:43:04,捷運民權西路站(2號出口)西側,24,1
187,YouBike2.0_捷運北門站(3號出口),62,1,大同區,2023-05-27 15:48:04,塔城街與鄭州路口西南側,61,1
188,YouBike2.0_朝陽公園,10,2,大同區,2023-05-27 15:40:22,重慶北路二段62-1號旁,8,1
190,YouBike2.0_大龍公園,18,0,大同區,2023-05-27 15:42:04,大龍街217號對側,18,1
192,YouBike2.0_圓山線形公園,14,2,大同區,2023-05-27 15:48:14,玉門街/民族西路(西北側),12,1
193,YouBike2.0_圓環站,28,1,大同區,2023-05-27 15:48:14,重慶北路一段128號前,27,1
194,YouBike2.0_重慶民族路口,20,2,大同區,2023-05-27 15:45:15,重慶北路三段162號前,17,1
195,YouBike2.0_承德路三段8巷口,16,0,大同區,2023-05-27 15:43:04,承德路三段14號前,16,1
198,YouBike2.0_聯合醫院中興院區,27,3,大同區,2023-05-27 15:41:16,長安西路299號(對面),24,1
202,YouBike2.0_重慶保安街口(家樂福重慶店),20,2,大同區,2023-05-27 15:48:04,重慶北路二段171號(旁),18,1
208,YouBike2.0_承德民生西路口,11,2,大同區,2023-05-27 15:46:15,承德路二段137號前,9,1
209,YouBike2.0_太原五原路口,24,3,大同區,2023-05-27 15:43:15,太原路 / 五原路口(東南側),21,1
210,YouBike2.0_臺北轉運站(華陰街),20,1,大同區,2023-05-27 15:48:14,華陰街45號(對面),19,1
211,YouBike2.0_捷運民權西路站(3號出口),50,1,大同區,2023-05-27 15:40:22,民權西路70巷37號對面,49,1
212,YouBike2.0_捷運中山站(5號出口),11,0,大同區,2023-05-27 15:47:14,南京西路57號前,11,1
217,YouBike2.0_樹德公園_1,21,3,大同區,2023-05-27 15:48:14,大龍街/大龍街85巷(東北側),18,1
220,YouBike2.0_雙蓮國小,20,2,大同區,2023-05-27 15:41:16,民權西路102巷4弄25號對側人行道,18,1
221,YouBike2.0_寧夏涼州街口,15,2,大同區,2023-05-27 15:37:14,寧夏路141號對側,12,1
226,YouBike2.0_百齡國小,50,2,士林區,2023-05-27 15:47:14,前港街104號(對面),48,1
227,YouBike2.0_雨聲街165巷口,15,1,士林區,2023-05-27 13:38:03,雨聲街/雨聲街165巷(西北側),14,1
229,YouBike2.0_中山天母路口,29,3,士林區,2023-05-27 15:46:15,天母西路3-55號前人行道,26,1
234,YouBike2.0_天母北天玉街口,15,2,士林區,2023-05-27 15:41:16,天母北路33號(前),13,1
238,YouBike2.0_忠誠路一段173巷口,11,0,士林區,2023-05-27 15:41:04,忠誠路一段177號(前),11,1
239,YouBike2.0_雨農國小,35,1,士林區,2023-05-27 15:45:16,忠誠路一段127號(前),32,1
240,YouBike2.0_忠誠公園,14,1,士林區,2023-05-27 15:47:14,忠誠路一段18號(對面),11,1
241,YouBike2.0_芝山抽水站,21,0,士林區,2023-05-27 15:48:04,至誠路二段47-49號(前),21,1
243,YouBike2.0_華齡公園,25,3,士林區,2023-05-27 15:47:14,劍潭路76號(對面),21,1
245,YouBike2.0_華齡街185巷口,12,1,士林區,2023-05-27 15:42:04,華齡街188號(前),10,1
246,YouBike2.0_前港公園(前港街),19,2,士林區,2023-05-27 15:43:15,前港街48號(對面),17,1
249,YouBike2.0_臺灣戲曲中心,14,3,士林區,2023-05-27 15:18:14,文林路751號(南側),10,1
252,YouBike2.0_志成公園,23,0,士林區,2023-05-27 15:44:04,中正路/雨農路口(西北側),23,1
253,YouBike2.0_福林國小,14,2,士林區,2023-05-27 15:48:14,福志路50號(對面),11,1
255,YouBike2.0_士林運動中心,30,1,士林區,2023-05-27 15:47:14,士商路1號(前),29,1
259,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
261,YouBike2.0_捷運士林站(2號出口),30,3,士林區,2023-05-27 15:45:16,中山北路五段505巷44弄2號(對面),25,1
262,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
265,YouBike2.0_聯合醫院陽明院區,15,1,士林區,2023-05-27 15:48:04,雨聲街105號(南側),13,1
270,YouBike2.0_梅林新村,15,2,士林區,2023-05-27 15:11:16,至善路一段/至善路一段138巷(北側),13,1
272,YouBike2.0_重慶北路四段190巷口,13,1,士林區,2023-05-27 14:47:14,重慶北路四段198號(前),12,1
273,YouBike2.0_重慶北葫東街口,15,0,士林區,2023-05-27 15:05:05,重慶北路四段177號(前),15,1
274,YouBike2.0_葫蘆國小,20,1,士林區,2023-05-27 15:44:14,環河北路三段/葫蘆街(東北側),19,1
280,YouBike2.0_社子公園,14,0,士林區,2023-05-27 15:44:04,永平街20巷37弄/永平街20巷11弄(社子公園南側),14,1
281,YouBike2.0_國立故宮博物院,17,1,士林區,2023-05-27 15:19:04,力行街8號(對面),15,1
282,YouBike2.0_泰北高中,16,0,士林區,2023-05-27 15:38:04,福林路240號(前),16,1
283,YouBike2.0_後港公園,15,2,士林區,2023-05-27 15:27:14,通河東街二段26號(旁公園),13,1
286,YouBike2.0_延平北路八段133巷口,15,2,士林區,2023-05-27 14:53:16,延平北路八段133巷42號(對面),13,1
289,YouBike2.0_福安國中,11,3,士林區,2023-05-27 12:35:15,延平北路七段250號(前),8,1
294,YouBike2.0_蘭雅國小,27,3,士林區,2023-05-27 15:48:14,礦溪街與中山北路六段195巷口,23,1
303,YouBike2.0_芝山聖佑宮,15,3,士林區,2023-05-27 15:47:14,雨聲街90號旁,10,1
304,YouBike2.0_至誠雨聲街口,9,0,士林區,2023-05-27 15:42:04,至誠路二段與雨聲街口東北側,8,1
305,YouBike2.0_捷運線型公園(後街),13,0,士林區,2023-05-27 15:46:04,後街15號旁,13,1
308,YouBike2.0_文林福華路口,19,1,士林區,2023-05-27 15:35:15,文林路 / 福華路口(東側),17,1
314,YouBike2.0_葫蘆國小(延平北路五段285巷),15,0,士林區,2023-05-27 15:37:04,環河北路三段/延平北路五段285巷,15,1
315,YouBike2.0_社子市場,15,3,士林區,2023-05-27 14:59:19,延平北路六段67號旁,12,1
319,YouBike2.0_延平北路五段257巷15弄口,13,3,士林區,2023-05-27 15:32:13,葫蘆街184號對側,10,1
322,YouBike2.0_中山福國路口,14,3,士林區,2023-05-27 15:41:16,中山北路五段837號前,9,1
330,YouBike2.0_士商路40巷口,15,2,士林區,2023-05-27 15:40:22,士商路40巷2號旁,13,1
334,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,3,士林區,2023-05-27 15:27:14,忠誠路二段207巷/士東路299巷口,14,1
336,YouBike2.0_美崙公園(東北側),15,1,士林區,2023-05-27 15:47:04,文林路587巷115號對側,14,1
337,YouBike2.0_台北花木批發市場,32,1,文山區,2023-05-27 15:42:14,萬盛街/興隆路一段(西北側),30,1
338,YouBike2.0_捷運萬隆站(4號出口),21,2,文山區,2023-05-27 15:44:14,羅斯福路5段210號(前),19,1
339,YouBike2.0_捷運萬隆站(1號出口),34,0,文山區,2023-05-27 15:34:03,羅斯福路五段250號(前),34,1
340,YouBike2.0_萬和二號公園,26,3,文山區,2023-05-27 15:47:14,萬隆街255號(對面),23,1
354,YouBike2.0_國立政治大學,35,0,文山區,2023-05-27 15:29:04,指南路二段153號(對面),35,1
355,YouBike2.0_捷運動物園站,18,1,文山區,2023-05-27 15:35:15,新光路二段30號(對面),16,1
362,YouBike2.0_考試院,22,1,文山區,2023-05-27 15:48:15,試院路(雙號)/木柵路一段(東北側),19,1
363,YouBike2.0_和興路26巷口,15,2,文山區,2023-05-27 15:29:14,和興路44巷 / 和興路26巷口,12,1
366,YouBike2.0_臺北市立景美女中,25,0,文山區,2023-05-27 15:44:04,木新路三段/一壽街(西北側),24,1
367,YouBike2.0_永安藝文館-表演36房,15,1,文山區,2023-05-27 15:46:15,木新路二段156號前人行道(永安市場),14,1
370,YouBike2.0_老泉街籃球場,14,0,文山區,2023-05-27 14:41:04,老泉街26巷老泉街口(籃球場前),14,1
374,YouBike2.0_木新路3段95巷口,16,2,文山區,2023-05-27 15:25:15,木新路三段95巷30號(對面),12,1
377,YouBike2.0_指南路3段2巷,13,0,文山區,2023-05-27 15:41:04,指南路三段4號(旁),13,1
378,YouBike2.0_萊茵公園,14,2,文山區,2023-05-27 12:34:13,忠順街二段87巷25弄29號,12,1
380,YouBike2.0_秀明路一段185巷口,20,0,文山區,2023-05-27 15:03:04,秀明路一段與秀明路一段185巷口,20,1
381,YouBike2.0_秀明路一段129巷口,22,3,文山區,2023-05-27 15:44:14,秀明路一段129巷與秀明路一段路口,19,1
383,YouBike2.0_萬有3號公園,14,3,文山區,2023-05-27 15:42:14,景隆街105號(對面),11,1
385,YouBike2.0_興得閱覽室,24,0,文山區,2023-05-27 15:29:04,興隆路三段304巷145號,21,1
387,YouBike2.0_博嘉運動公園,12,1,文山區,2023-05-27 14:57:14,木柵路四段159巷16號,11,1
390,YouBike2.0_政大一街口,14,0,文山區,2023-05-27 12:44:04,政大一街19號對側,13,1
393,YouBike2.0_海巡署(南側),10,1,文山區,2023-05-27 15:47:14,興隆路三段211號對側(公車亭後),9,1
394,YouBike2.0_明道國小東南側,18,2,文山區,2023-05-27 15:48:15,興隆路四段109巷116號對側,16,1
398,YouBike2.0_捷運動物園站(2號出口),39,1,文山區,2023-05-27 15:47:14,新光路二段28號前,37,1
399,YouBike2.0_政大水岸電梯,10,3,文山區,2023-05-27 15:05:16,政治大學水岸電梯旁,7,1
400,YouBike2.0_敦南山林,14,3,文山區,2023-05-27 15:44:14,木柵路四段159巷16弄(社區出入口對側),11,1
401,YouBike2.0_辛亥路五段73巷口,13,1,文山區,2023-05-27 15:23:14,辛亥路五段75-1號前人行道,12,1
402,YouBike2.0_景美污水抽水站,15,1,文山區,2023-05-27 15:47:14,汀州路四段10號北側人行道,14,1
404,YouBike2.0_景興國中,10,3,文山區,2023-05-27 15:42:14,三福街4巷與景興路46巷口,7,1
405,YouBike2.0_景仁公園_1,15,2,文山區,2023-05-27 15:19:14,景仁街 / 羅斯福路六段142巷口(北側),12,1
406,YouBike2.0_師大公館校區學二舍,40,2,文山區,2023-05-27 15:32:13,臺灣師範大學學二舍西側人行道,36,1
409,YouBike2.0_辛亥路四段77巷口,14,0,文山區,2023-05-27 14:19:04,辛亥路四段77巷口,14,1
410,YouBike2.0_景興路42巷口,12,1,文山區,2023-05-27 15:25:05,景興路42巷與景興路口西南側,11,1
412,YouBike2.0_木柵路二段109巷,15,0,文山區,2023-05-27 14:26:04,木柵路二段109巷14號旁,15,1
414,YouBike2.0_萬美萬安街口,16,0,文山區,2023-05-27 13:11:04,萬美街一段/萬安街口,16,1
415,YouBike2.0_興隆路二段203巷(敦南),27,3,文山區,2023-05-27 14:45:16,興隆路二段203巷16號,23,1
416,YouBike2.0_新光秀明路口,15,1,文山區,2023-05-27 15:48:15,新光路一段145號前,14,1
420,YouBike2.0_捷運公館站(4號出口),12,1,中正區,2023-05-27 15:47:14,羅斯福路四段48號,11,1
423,YouBike2.0_捷運臺電大樓站(1號出口),34,2,中正區,2023-05-27 15:48:15,辛亥路一段/羅斯福路三段南側,29,1
424,YouBike2.0_客家文化主題公園,15,0,中正區,2023-05-27 15:30:32,師大路/金門街11巷口對側人行道,15,1
425,YouBike2.0_河堤國小,27,2,中正區,2023-05-27 15:46:15,汀洲路二段182巷內186號旁,25,1
427,YouBike2.0_捷運臺電大樓站(5號出口),14,2,中正區,2023-05-27 15:38:14,羅斯福路三段126號前,12,1
428,YouBike2.0_捷運臺電大樓站(4號出口),13,0,中正區,2023-05-27 15:45:05,師大路/羅斯福路三段西側,13,1
429,YouBike2.0_羅斯福三段金門街口,15,1,中正區,2023-05-27 15:47:14,羅斯福路三段2號前,13,1
431,YouBike2.0_捷運古亭站(8號出口),15,3,中正區,2023-05-27 15:48:15,和平西路一段13-1號前方,11,1
432,YouBike2.0_捷運古亭站(7號出口),12,0,中正區,2023-05-27 15:47:14,羅斯福路二段44號前方,11,1
435,YouBike2.0_孫立人將軍官邸,23,2,中正區,2023-05-27 15:46:15,南昌路一段136號前,21,1
443,YouBike2.0_永昌公園,15,3,中正區,2023-05-27 15:17:32,詔安街224號前,6,1
444,YouBike2.0_中華路二段409巷口,15,3,中正區,2023-05-27 15:41:16,中華路二段403號前,12,1
450,YouBike2.0_捷運小南門站(2號出口),18,2,中正區,2023-05-27 15:24:04,愛國西路30號之2前方,15,1
452,YouBike2.0_中華貴陽街口,20,3,中正區,2023-05-27 15:36:15,貴陽街一段243之1號(前),17,1
461,YouBike2.0_延平南路133巷口,17,2,中正區,2023-05-27 15:37:14,延平南路162號對側,15,1
478,YouBike2.0_莒光大埔街口,32,0,中正區,2023-05-27 15:46:04,莒光路/大埔街口(東北側),31,1
479,YouBike2.0_捷運忠孝新生站(2號出口),32,1,中正區,2023-05-27 15:48:15,忠孝東路二段132號(東側),30,1
482,YouBike2.0_捷運中正紀念堂站(5號出口),29,3,中正區,2023-05-27 15:41:16,捷運中正紀念堂站(5號出口)西側,26,1
483,YouBike2.0_北平東杭州北路口,20,2,中正區,2023-05-27 15:46:15,北平東路/杭州北路口(東北側),18,1
484,YouBike2.0_王貫英先生紀念圖書館,15,0,中正區,2023-05-27 15:45:05,汀州路二段265號,15,1
489,YouBike2.0_捷運臺北車站(M2出口),20,0,中正區,2023-05-27 15:23:04,市民大道一段168號旁,20,1
490,YouBike2.0_臺北市國父史蹟館(逸仙公園),31,3,中正區,2023-05-27 15:48:15,中山北路一段46號北側,28,1
492,YouBike2.0_弘道國中,18,1,中正區,2023-05-27 15:44:14,公園路21號西北側,16,1
494,YouBike2.0_台北市替代役中心,15,1,中正區,2023-05-27 15:39:14,汀州路三段8號前,14,1
495,YouBike2.0_紹興徐州路口,18,0,中正區,2023-05-27 15:27:04,紹興南街/徐州路(東南側),18,1
496,YouBike2.0_羅斯福寧波東街口,20,3,中正區,2023-05-27 15:46:15,羅斯福路一段/寧波東街(東南側),17,1
500,YouBike2.0_仁愛金山路口,9,0,中正區,2023-05-27 14:40:12,仁愛路二段31號前,9,1
501,YouBike2.0_杭州南路一段101巷口,14,1,中正區,2023-05-27 15:35:15,金山南路一段72號前,13,1
506,YouBike2.0_林森北平路口,20,2,中正區,2023-05-27 15:36:15,林森北路與北平東路口西北側,17,1
509,YouBike2.0_捷運忠孝新生站(1號出口),19,0,中正區,2023-05-27 15:46:04,捷運忠孝新生站(1號出口)後方,19,1
510,YouBike2.0_捷運忠孝新生站(5號出口),13,2,中正區,2023-05-27 15:47:14,新生南路一段56號前方,11,1
514,YouBike2.0_仁愛紹興街口(南側),17,1,中正區,2023-05-27 15:42:14,仁愛路一段/紹興南街口(南側),16,1
521,YouBike2.0_仁愛金山路口(東南側),14,0,中正區,2023-05-27 15:48:15,仁愛路二段48-4號前,14,1
522,YouBike2.0_臺灣文學基地,15,0,中正區,2023-05-27 14:50:11,齊東街53巷10號,15,1
523,YouBike2.0_重慶南詔安街口,15,3,中正區,2023-05-27 15:48:15,重慶南路三段/詔安街,12,1
525,YouBike2.0_捷運中正紀念堂站(2號出口),12,0,中正區,2023-05-27 15:42:04,羅斯福路一段10號前,12,1
526,YouBike2.0_螢圃里小公園,19,1,中正區,2023-05-27 15:40:22,汀州路二段135號對側,17,1
527,YouBike2.0_螢橋公園,15,2,中正區,2023-05-27 15:37:14,和平西路一段110號旁,11,1
530,YouBike2.0_樂群二堤頂大道口,20,0,中山區,2023-05-27 15:41:04,堤頂大道二段382號(旁),19,1
533,YouBike2.0_樂群二明水路口,20,2,中山區,2023-05-27 15:43:15,樂群二路/明水路口(東北側),18,1
536,YouBike2.0_樂群二敬業三路口,20,2,中山區,2023-05-27 15:38:15,敬業三路155號(前),18,1
537,YouBike2.0_樂群二敬業四路口,36,1,中山區,2023-05-27 15:46:15,樂群二路186號,35,1
539,YouBike2.0_復興市民路口,45,3,中山區,2023-05-27 15:48:15,復興南路一段36-9號前人行道,42,1
545,YouBike2.0_一江公園,22,3,中山區,2023-05-27 15:36:15,一江街/松江路132巷口(西北側),19,1
547,YouBike2.0_新生長春路口,20,0,中山區,2023-05-27 15:40:11,新生北路二段/新生北路二段68巷交叉口(新生橋下),19,1
549,YouBike2.0_民生建國路口,26,3,中山區,2023-05-27 15:48:15,民生東路三段 / 建國北路二段口,23,1
556,YouBike2.0_朱崙商場,31,3,中山區,2023-05-27 15:48:15,龍江路15號前,27,1
557,YouBike2.0_中吉公園,15,0,中山區,2023-05-27 15:40:11,松江路170巷20號對側,15,1
558,YouBike2.0_華山公園,19,2,中山區,2023-05-27 15:47:14,市民大道與長安東路一段52巷口,16,1
560,YouBike2.0_江寧公園,15,0,中山區,2023-05-27 15:48:15,合江街186號對側,14,1
563,YouBike2.0_捷運行天宮站(3號出口),42,1,中山區,2023-05-27 15:48:04,松江路261號前,40,1
564,YouBike2.0_林森農安街口,17,0,中山區,2023-05-27 15:36:04,林森北路582號(前),17,1
565,YouBike2.0_捷運中山國小站(4號出口),20,0,中山區,2023-05-27 15:47:04,民權東路一段/民權東路一段71巷口,20,1
566,YouBike2.0_農安雙城街口,15,0,中山區,2023-05-27 15:39:04,農安街12-1號前方,15,1
567,YouBike2.0_新生德惠街口,15,1,中山區,2023-05-27 15:43:15,新生北路三段76號對側,14,1
570,YouBike2.0_中山民族路口,16,0,中山區,2023-05-27 15:23:04,中山北路三段54號前,16,1
571,YouBike2.0_新生高架停車場(林森北路107巷口),14,1,中山區,2023-05-27 15:36:04,新生北路一段與林森北路107巷口(新生高架橋下),12,1
573,YouBike2.0_仁德公園,18,0,中山區,2023-04-17 00:35:05,吉林路108巷與南京東路二段21巷口東南側,18,0
574,YouBike2.0_中原公園,15,2,中山區,2023-05-27 15:21:16,新生北路二段45巷(中原公園西側),13,1
575,YouBike2.0_下埤公園,24,3,中山區,2023-05-27 15:46:15,民族東路512巷13弄4號,21,1
577,YouBike2.0_榮星花園,38,1,中山區,2023-05-27 15:46:15,五常街77號對側,35,1
580,YouBike2.0_新喜公園,13,1,中山區,2023-05-27 15:40:22,德惠街170巷22號對側,11,1
583,YouBike2.0_林安泰古厝,22,1,中山區,2023-05-27 15:40:11,濱江街5號對側,21,1
584,YouBike2.0_中山公民會館,20,1,中山區,2023-05-27 15:43:04,中山北路二段128巷口,17,1
587,YouBike2.0_撫順公園,20,0,中山區,2023-05-27 15:30:32,中山北路三段2號對側,19,1
